"Language","english","spanish","portuguese","german","italian","russian","polish","french","czech","chinese","chinesesimp",
"STR_BSHC_ModName","Bastardos Hacked Crate","Bastardos Caja Hackeable","Bastardos Caixa Hackeável","Bastardos Gehackte Kiste","Bastardos Cassa Hackerabile","Взломанный ящик Бастардос","Skrzynia zhakowana przez Bastardos","Caisse piratée des Bâtards","Bastardova hacknutelná krabice","黑客破译箱","黑客破译箱",
"STR_BSHC_Action_HackCrate","Hack Crate","Hackear Caja","Hackear Caixa","Kiste hacken","Hackera Cassa","Взломать ящик","Zhakuj skrzynię","Pirater la caisse","Hackovat Krabici","开始破解黑客补给箱","开始破解黑客补给箱",
"STR_BSHC_HackedCrate_DisplayName","Hacked Crate","Caja Hackeable","Caixa Hackeável","Gehackte Kiste","Cassa Hackerabile","Взломанный ящик","Zhakowana skrzynia","Caisse piratée","Hacknutelná krabice","黑客补给箱","黑客补给箱",
"STR_BSHC_HackedCrate_Description","A crate that requires hacking to open.","Una caja que requiere ser hackeada para abrirse.","Uma caixa que requer hacking para abrir.","Eine Kiste, die gehackt werden muss, um sie zu öffnen.","Una cassa che richiede l'hacking per essere aperta.","Ящик, для открытия которого требуется взлом.","Skrzynia wymagająca zhakowania do otwarcia.","Une caisse qui nécessite un piratage pour être ouverte.","Krabice která musí být hacknuta aby se otevřela.","需破解才能开启的黑客补给箱","需破解才能开启的黑客补给箱",
"STR_BSHC_HackedCrateRust_DisplayName","Hacked Crate Rust","Caja Hackeable Rust","Caixa Hackeável Rust","Gehackte Kiste Rost-Stil","Cassa Hackerabile Ruggine","Ржавый взломанный ящик","Zardzewiała zhakowana skrzynia","Caisse piratée rouillée","Rezavá Hacknutelná Krabice","Rust 黑客破译箱","Rust 黑客破译箱",
"STR_BSHC_HackedCrateRust_Description","A rust-style hacked crate.","Una caja hackeable estilo rust.","Uma caixa hackeável estilo ferrugem.","Eine gehackte Kiste im Rost-Stil.","Una cassa hackerabile in stile ruggine.","Взломанный ящик в стиле ржавчины.","Zhakowana skrzynia w stylu rdzy.","Une caisse piratée de style rouille.","Zrezavělá krabice která musí být hacknuta aby se otevřela.","一个 Rust 风格的黑客破译箱","一个 Rust 风格的黑客破译箱",
"STR_BSHC_Notification_Title","Hacked Crate","Caja Hackeable","Caixa Hackeável","Gehackte Kiste","Cassa Hackerabile","Взломанный ящик","Zhakowana skrzynia","Caisse piratée","Hacknutelná krabice","黑客破译箱","黑客破译箱",
"STR_BSHC_Notification_Spawn_Default","A Hacked Crate has appeared!","¡Ha aparecido una Caja Hackeable!","Uma Caixa Hackeável apareceu!","Eine Gehackte Kiste ist erschienen!","È apparsa una Cassa Hackerabile!","Появился взломанный ящик!","Pojawiła się zhakowana skrzynia!","Une caisse piratée est apparue !","Hackovatelná krabice se objevila!","黑客补给箱已投放，尽快前往破解！","黑客补给箱已投放，尽快前往破解！",
"STR_BSHC_Notification_Spawn_Located","A Hacked Crate has appeared at %1!","¡Ha aparecido una Caja Hackeable en %1!","Uma Caixa Hackeável apareceu em %1!","Eine Gehackte Kiste ist bei %1 erschienen!","È apparsa una Cassa Hackerabile a %1!","Взломанный ящик появился на %1!","Zhakowana skrzynia pojawiła się w %1!","Une caisse piratée est apparue à %1 !","Hackovatelná krabice se objevila v %1!","一个黑客补给箱已出现在 %1！","一个黑客补给箱已出现在 %1！",
"STR_BSHC_Notification_Start_Default","A Hacked Crate is being hacked!","¡Se ha iniciado el hackeo de una Caja!","O hacking de uma Caixa foi iniciado!","Eine Kiste wird gerade gehackt!","Una Cassa Hackerabile è in corso di hacking!","Взломанный ящик взламывают!","Trwa hakowanie zhakowanej skrzyni!","Une caisse piratée est en cours de piratage !","Někdo začal Hackovat krabici!","有人正在破解黑客战利品箱，尽快前往阻止！","有人正在破解黑客战利品箱！立即前往阻止！",
